Station_ID,Site_Name,Date ,Time,Time_Zone,Sample_Type,Temperature_Water,Specific_Conductance,pH,Nitrate_plus_nitrite,RC_Organic_Carbon,Organic_Carbon,RC_Calcium_wf,Calcium_wf,RC_Magnesium_wf,Magnesium_wf,RC_Sodium_wf,Sodium_wf,RC_Potassium_wf,Potassium_wf,Chloride_wf,RC_Sulfate_wf,Sulfate_wf,RC_Fluoride_wf,Fluoride_wf,RC_Silica_wf,Silica_wf,RC_Arsenic_wf,Arsenic_wf,RC_Arsenic_wu,Arsenic_wu,RC_Cadmium_wf,Cadmium_wf,RC_Cadmium_wu,Cadmium_wu,RC_Copper_wf,Copper_wf,RC_Copper_wu,Copper_wu,RC_Iron_wu,Iron_wu,RC_Iron_wf,Iron_wf,RC_Lead_wf,Lead_wf,RC_Lead_wu,Lead_wu,RC_Manganese_wu,Manganese_wu,RC_Manganese_wf,Manganese_wf,RC_Zinc_wf,Zinc_wf,RC_Zinc_wu,Zinc_wu,RC_Alkalinity_lab,Alkalinity_lab,RC_Turbidity_lab,Turbidity_lab,Suspended_Sediment_percent_finer_than_0.0625_mm,RC_Suspended_Sediment_Concentration,Suspended_Sediment_Concentration
12334550,"Clark Fork at Turah Bridge near Bonner, MT",8/18/2021,11:30,MDT,Environmental,14.9,346,8.16,NA,NA,NA,NA,46.8,NA,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22,NA,5.53,<,0.03,NA,0.03,NA,2.3,NA,4.02,NA,74.6,NA,7.43,NA,0.03,NA,0.35,NA,23.3,NA,4.63,NA,2.02,NA,5.66,NA,NA,NA,NA,NA,NA,NA
12334550,"Clark Fork at Turah Bridge near Bonner, MT",8/18/2021,11:32,MDT,Laboratory Spike,NA,NA,NA,NA,NA,NA,NA,95.6,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,6.95,NA,0.27,NA,0.26,NA,7.26,NA,8.67,NA,172,NA,105,NA,0.56,NA,0.83,NA,69.3,NA,54.1,NA,12.7,NA,16.5,NA,NA,NA,NA,NA,NA,NA
12340000,"Blackfoot River near Bonner, MT",10/15/2020,10:45,MDT,Environmental,6.2,289,8.21,NA,NA,NA,NA,33.2,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,NA,1.11,<,0.03,<,0.03,NA,0.54,NA,0.66,NA,48.6,NA,5.47,<,0.02,NA,0.07,NA,6.17,NA,4.68,<,2,<,2,NA,NA,NA,NA,85,NA,2
12340000,"Blackfoot River near Bonner, MT",4/14/2021,11:10,MDT,Environmental,4,185,8.21,NA,NA,NA,NA,22.8,NA,7.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,0.81,<,0.03,<,0.03,NA,0.99,NA,0.86,NA,152,NA,35.5,NA,0.03,NA,0.14,NA,13,NA,5.5,<,2,<,2,NA,NA,NA,NA,90,NA,6
12340000,"Blackfoot River near Bonner, MT",5/19/2021,11:30,MDT,Environmental,9,149,7.98,NA,NA,NA,NA,19.4,NA,5.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,1.14,<,0.03,<,0.03,NA,0.67,NA,1.98,NA,510,NA,17.8,NA,0.02,NA,0.59,NA,42.3,NA,2.15,<,2,NA,2.69,NA,NA,NA,NA,80,NA,42
12340000,"Blackfoot River near Bonner, MT",6/9/2021,11:45,MDT,Environmental,12.2,170,8.26,NA,NA,NA,NA,20.7,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,1.14,<,0.03,<,0.03,NA,0.71,NA,1.57,NA,359,NA,41.2,NA,0.06,NA,0.42,NA,23.8,NA,4.73,<,2,<,2,NA,NA,NA,NA,88,NA,27
12340000,"Blackfoot River near Bonner, MT",7/14/2021,10:45,MDT,Environmental,17.3,245,8.36,NA,NA,NA,NA,33,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,NA,1.2,<,0.03,<,0.03,<,0.4,NA,0.87,NA,40.2,NA,7.74,<,0.02,NA,0.08,NA,5.39,NA,1.78,<,2,<,2,NA,NA,NA,NA,87,NA,2
12340000,"Blackfoot River near Bonner, MT",8/18/2021,10:30,MDT,Environmental,14.9,265,8.23,NA,NA,NA,NA,36,NA,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,1.34,<,0.03,<,0.03,NA,0.46,NA,0.5,NA,75.1,NA,8.49,<,0.02,NA,0.12,NA,8.94,NA,2.17,<,2,<,2,NA,NA,NA,NA,NA,NA,NA
12340500,"Clark Fork above Missoula, MT",10/15/2020,9:45,MDT,Environmental,6.9,328,7.9,NA,NA,NA,NA,38.3,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35,NA,4.1,<,0.03,NA,0.06,NA,1.6,NA,7.29,NA,221,NA,7.34,NA,0.04,NA,1.19,NA,43.8,NA,7.76,NA,2.35,NA,14.3,NA,NA,NA,NA,85,NA,12
12340500,"Clark Fork above Missoula, MT",3/24/2021,10:15,MDT,Environmental,4,304,8.02,NA,NA,NA,NA,40.4,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95,NA,5.09,NA,0.07,NA,0.09,NA,9.79,NA,10.4,NA,447,NA,408,NA,1.67,NA,1.81,NA,53,NA,59.2,NA,17.3,NA,17.7,NA,NA,NA,NA,88,NA,21
12340500,"Clark Fork above Missoula, MT",4/14/2021,9:45,MDT,Field Blank,NA,4,4.87,NA,NA,NA,<,0.02,<,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,0.1,<,0.1,<,0.03,<,0.03,<,0.4,<,0.4,<,5,<,5,>,0.02,<,0.06,<,0.4,<,0.4,<,2,<,2,NA,NA,NA,NA,NA,NA,NA
12340500,"Clark Fork above Missoula, MT",4/14/2021,9:50,MDT,Environmental,3.9,241,8.06,NA,NA,NA,NA,29.4,NA,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98,NA,2.65,<,0.03,NA,0.04,NA,1.46,NA,4.99,NA,232,NA,26.5,NA,0.05,NA,0.87,NA,27.8,NA,7.99,NA,2.33,NA,8.25,NA,NA,NA,NA,81,NA,11
12340500,"Clark Fork above Missoula, MT",5/6/2021,10:30,MDT,Environmental,9.1,179,8.11,NA,NA,NA,NA,22.2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,NA,2.62,<,0.03,NA,0.06,NA,1.61,NA,7.41,NA,482,NA,29.5,NA,0.06,NA,1.38,NA,48.2,NA,4.79,<,2,NA,12.7,NA,NA,NA,NA,73,NA,31
12340500,"Clark Fork above Missoula, MT",5/19/2021,10:00,MDT,Environmental,9.1,149,7.76,NA,NA,NA,NA,18.8,NA,5.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,NA,2.45,<,0.03,NA,0.06,NA,1.49,NA,8.06,NA,596,NA,29,NA,0.06,NA,1.47,NA,53,NA,4.15,<,2,NA,11.7,NA,NA,NA,NA,70,NA,50
12340500,"Clark Fork above Missoula, MT",6/9/2021,10:00,MDT,Environmental,12.5,175,8.12,NA,NA,NA,NA,21,NA,6.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,2.93,<,0.03,NA,0.05,NA,1.94,NA,8.47,NA,417,NA,18.1,NA,0.05,NA,1.34,NA,37.1,NA,4.96,<,2,NA,11.6,NA,NA,NA,NA,83,NA,29
12340500,"Clark Fork above Missoula, MT",6/9/2021,10:05,MDT,Field Replicate,12.5,175,8.12,NA,NA,NA,NA,22.3,NA,6.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,NA,3.13,<,0.03,NA,0.06,NA,1.6,NA,8.53,NA,392,NA,18.6,NA,0.04,NA,1.34,NA,37.2,NA,5.15,<,2,NA,11.5,NA,NA,NA,NA,77,NA,31
12340500,"Clark Fork above Missoula, MT",6/9/2021,10:10,MDT,Laboratory Replicate,NA,175,8.12,NA,NA,NA,NA,22.3,NA,6.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13,NA,2.96,<,0.03,NA,0.05,NA,1.67,NA,8.59,NA,390,NA,18.8,NA,0.05,NA,1.33,NA,36.9,NA,5.23,<,2,NA,12.4,NA,NA,NA,NA,NA,NA,NA
12340500,"Clark Fork above Missoula, MT",7/14/2021,9:45,MDT,Environmental,17.3,260,8.23,NA,NA,NA,NA,34.4,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88,NA,2.87,<,0.03,<,0.03,NA,1.51,NA,2.21,NA,46.9,NA,8.4,NA,0.03,NA,0.15,NA,10.7,NA,4.27,<,2,NA,2.35,NA,NA,NA,NA,85,NA,2
12340500,"Clark Fork above Missoula, MT",8/18/2021,9:45,MDT,Environmental,14.8,297,8.05,NA,NA,NA,NA,39.7,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22,NA,3.63,<,0.03,<,0.03,NA,1.4,NA,2.84,NA,98.1,NA,8.42,NA,0.02,NA,0.3,NA,22.2,NA,6.98,<,2,NA,5.74,NA,NA,NA,NA,NA,NA,NA
